;Unnamed: 0.1;Unnamed: 0;Topic;Count;Name;Representation;Representative_Docs;Task;LLM-Easy (Global);LLM-Hard (Global);LLM-Easy (Llama);LLM-Hard (Llama);LLM-Easy (Deepseek);LLM-Hard (Deepseek);LLM-Easy (MagiCoder);LLM-Hard (MagiCoder);LLM-Easy (CodeGemma);LLM-Hard (CodeGemma);LLM-Easy (GPT);LLM-Hard (GPT)
10;10;10;10;7;10_users_user_username_employee_id;['users', 'user', 'username', 'employee_id', 'check', 'checking', 'message', 'retrieve', 'employee', 'sender'];"['Search for and retrieve user information from the ""users"" table based on the provided ""username"". Return the user details as a list of tuples.', 'Check if a user is signed in based on their ""username"". Return ""True"" if the user is currently signed in, otherwise return ""False"".', 'Sign in a user ""username"" if the user is in ""self.users"" and change their state to ""True"". Return ""True"" if the user is signed in successfully, otherwise ""False"".']";11, 28, 43, 58, 148, 160, 199;11,28,43,58,148;160,199;28,43,58,148,160;11,199;11,43,58,148;28,160,199;11,43,58,148,160;28,199;28,43,58,148;11,160,199;28,43,58,148;11,160,199
11;11;11;11;6;11_subtracts_subtract_subtraction_calculate;['subtracts', 'subtract', 'subtraction', 'calculate', 'multiply', 'operand_stack', 'num2', 'numbers', 'sum', 'operator_stack'];"['Use the operator at the top of the ""operator_stack"" to perform the operation on the two numbers at the top of the ""operand_stack"", and store the result at the top of the ""operand_stack"". ', 'Subtract ""num1"" from ""num2"", both represented as strings of large numbers, and return their difference as a string.', 'Adds two big numbers ""num1"" and ""num2"", both represented as strings, and returns their sum also as a string.']";51, 101, 161, 170, 184, 191;51,101,161,170,184;191;101,161,170,184,191;51;101,161,170,184;51,191;101,161,170,184;51,191;101,161,170,184;51,191;51,101,161,170,184,191;
12;12;12;12;5;8_employee_id_remove_deleting_removed;['employee_id', 'remove', 'deleting', 'removed', 'deletes', 'book_id', 'resume', 'withdraw', 'id', 'resumes'];"['Clear the email box by deleting the oldest emails until the email box has enough space to accommodate the given ""size"". ', 'This function is used to withdraw resumes, and remove the resume information from the ""self.resumes"" list.', 'Create a ""students"" table in the database if it does not exist already with fields ID of type int, name of type str, age of type int, gender of type str, and grade of type int. This function should return ""None"".']";35, 92, 102, 110, 152;35,92,102,152;110;35,92,102,152;110;35,92,102,152;110;35,92,102,152;110;35,92,102,152;110;35,92,102;110,152
13;13;13;13;6;13_file_extracting_file_path_file_name;['file', 'extracting', 'file_path', 'file_name', 'csv', 'files', 'extract', 'pdf', 'format', 'read'];"['Read and return the content of the ""self.file_path"" file.', 'Read the CSV file specified by ""file_name"", extracting the title and the remaining data. Return these as a tuple where the first element is a list representing the title (column headers) and the second element is a list of lists, each containing the data for a row.', 'Read the file specified by ""self.file_path"" and interpret its contents as JSON. If the file content doesn\'t follow JSON format, an error will be raised.']";26, 52, 121, 122, 124, 151;26,52,121,122,124,151;;26,52,121,122,124,151;;26,52,121,122,124,151;;26,52,121,122,124,151;;26,52,121,122,124,151;;26,52,121,122,124,151;
14;14;14;14;5;14_ciphertext_decryption_cipher_encrypted_text;['ciphertext', 'decryption', 'cipher', 'encrypted_text', 'plaintext', 'deciphers', 'encrypted', 'encrypt', 'deciphered', 'vigenere'];"['Encrypt the plaintext ""plaintext"" using the Vigenere cipher. Return the resulting ciphertext.', 'Encrypt the plaintext ""plaintext"" using the Rail Fence cipher and the number of rails ""rails"". Return the ciphertext as a string.', 'Deciphers the given ciphertext using the Rail Fence cipher. The function receives ""encrypted_text"", a string representing the encrypted message, and ""rails"", an integer specifying the number of rails used for decryption. It returns the deciphered plaintext as a string.']";12, 128, 132, 138, 175;12,138,175;128,132;175;12,128,132,138;12,138,175;128,132;12,128,138,175;132;12,138,175;128,132;12,175;128,132,138
15;15;15;15;5;15_add_student_name_class_name_adds;['add', 'student_name', 'class_name', 'adds', 'student', 'list', 'playlist', 'classes', 'class', 'available'];"['Add a course to the ""self.courses"" list if the course is not already in it.', 'Register a class ""class_name"" for a student ""student_name"". The function returns the list of all classes the student has registered.', 'Add the course score for a specific student in the ""self.students"" dictionary. If the student\'s name exists in the dictionary, update the course score accordingly.']";7, 17, 20, 21, 123;7,17,20,123;21;7,17,20,123;21;17,20,21,123;7;7,17,20,123;21;7,17,20,21,123;;7,17,20,21,123;
16;16;16;16;5;16_unicode_utf_binary_string_string;['unicode', 'utf', 'binary_string', 'string', 'convert', 'whitespace', 'binary', 'encoded', 'replace', 'removing'];"['Replace numeric character references in the input string ""string"" with their corresponding Unicode characters.', 'Clean the ""self.binary_string"" by removing all non-0 or 1 characters.', 'Transform the given ""expression"" by removing all whitespace characters and ensuring it does not end with an equals sign. Return the processed string.']";64, 91, 108, 112, 117;64,108,117;91,112;108,117;64,91,112;64,108,117;91,112;64,108,117;91,112;64,108,117;91,112;64,108,117;91,112
17;17;17;17;4;17_page_number_retrieve_upcoming_list;['page_number', 'retrieve', 'upcoming', 'list', 'get', 'scheduled', 'date', 'information', 'data', 'following'];"['Get all events scheduled on a specific ""date"" from the event list ""self.events"". Each event is represented as a dictionary with at least a ""date"" key. This function returns a list of all such events that match the given ""date"".', 'Retrieve information about a specific page ""page_number"". Return a dictionary containing the following page information: current page number, per page number of items, total pages, total items, if the page has a previous page, if the page has a next page and the page data.', 'Retrieve a specific page of data based on the ""page_number"". Return the data on the specified page as a list.']";1, 56, 171, 177;1,56,171,177;;1,56,171,177;;1,56,171,177;;1,56,171,177;;1,56,171,177;;1,56,171,177;
18;18;18;18;4;18_celsius_to_fahrenheit_current_temperature_target_temperature_temperature;['celsius_to_fahrenheit', 'current_temperature', 'target_temperature', 'temperature', 'celsius', 'thermostat', 'fahrenheit', 'weather_list', 'tmp_units', 'auto_set_mode'];"['Query the weather and temperature for the specified ""city"" in the ""weather_list"", and convert the temperature to the desired ""tmp_units"". Return the temperature and weather of the city as a tuple.', 'Simulate the operation of the ""Thermostat"" by adjusting the ""self.current_temperature"" towards the ""self.target_temperature"" based on the ""self.mode"". It automatically sets the mode using the ""auto_set_mode"" method, then adjusts the temperature step by step until the target temperature is reached. Return the time it took for the simulation to complete in integer seconds.', 'Check if there is a conflict between the ""mode"" and the relationship between ""self.current_temperature"" and ""self.target_temperature"". If there is a conflict, the operating mode will be adjusted automatically. Return ""True"" if the mode isn\'t in conflict with the relationship between the current temperature and the target temperature, or ""False"" otherwise.']";10, 66, 137, 178;137;10,66,178;137;10,66,178;137;10,66,178;137;10,66,178;137;10,66,178;137;10,66,178
19;19;19;19;4;19_brackets_textnum_if_check;['brackets', 'textnum', 'if', 'check', 'input', 'operator', 'expression', 'valid', 'is', 'contains'];"['Check if the input text ""textnum"" contains only valid words that can be converted into numbers. Return ""True"" if the input is valid, otherwise return ""False"".', ' Checks if the expression has balanced brackets. Returns ""True"" if the brackets are balanced, otherwise returns ""False"".', 'Returns the priority of the specified operator ""operator"" using a predefined set of priorities where \'^\' has the highest priority, followed by \'/\' and \'*\', and \'+\' and \'-\' have the lowest priority. If the operator is not recognized, return 0.']";15, 42, 67, 150;42,67,150;15;67,150;15,42;42,67,150;15;42,67,150;15;42,67,150;15;42,67,150;15
20;20;20;20;3;20_booked_rooms_booked_booking_tickets;['booked_rooms', 'booked', 'booking', 'tickets', 'available_rooms', 'ticket', 'room_type', 'room_number', 'check', 'room'];"['Add a new movie into the list ""self.movies"". The function accepts five parameters: ""name"" (movie name), ""price"" (price for one ticket), ""start_time"", ""end_time"", and ""n"" (the size of the seating area as n*n).', 'Book tickets for a specified movie by changing the seat values in ""self.movies"". If the booking is successful, return ""Booking success."". If the seat is already booked, return ""Booking failed."". If the movie is not found, return ""Movie not found."".', ' Check if rooms of the specified type ""room_type"" are available. If the desired number of rooms ""room_number"" can be booked for the guest ""name"", modify ""self.available_rooms"" and ""self.booked_rooms"" appropriately and return \'Success!\'. If the ""room_number"" exceeds the number available but is not zero, return the number of remaining rooms. If the room type is not found or no rooms are left, return False.']";39, 54, 185;39,54,185;;39,54,185;;39,54,185;;39,54,185;;39,54,185;;39,54,185;
